"Reference","Value","Datasheet","Footprint","Qty","DNP"
"Alimentacion_Ext_5V1","640456-2","","footprints:Header_TE_640456-2","1",""
"C1","1000pF/Cer","~","footprints:CapCeramico1000pF_885012207060","1",""
"C2,C9","10uF/Elec","~","footprints:CapElecSMD_KEMET_EXV106M025A9BAA","2",""
"C3,C4,C6,C8,C10,C11","0.1uF/Tan","~","footprints:CapTantalio0.1uF_TAJS104K020RNJ","6",""
"C5,C7","200pF/Cer","~","footprints:CapCeramico200pF_C1206C201F4HACTU","2",""
"C12,C14","33nF/Cer","~","footprints:CapCeramico200pF_C1206C201F4HACTU","2",""
"C13","3.3nF/Cer","~","footprints:CapCeramico3.3nF_C0805C332F5GECAUTO7210","1",""
"D1,D2","RED_LED","http://www.everlight.com/file/ProductFile/IR26-21C-L110-TR8.pdf","LED_SMD:LED_1206_3216Metric","2",""
"IC1","HCPL-7800A-300E","https://docs.broadcom.com/docs/HCPL-7800-7800A-Isolation-Amplifier-DS","footprints:SMD_HCPL7800A300E","1",""
"IC2,IC3","OP27GSZ","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-4/sf-00085578.pdf","footprints:SMD_OP27GSZ","2",""
"J2","USB_B_Micro_2.0","~","","1",""
"Kulka1","Screw_Terminal_01x03","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","1",""
"PS_HV1,PS_LV1","RB-0505D","http://www.recom-power.com/pdf/Econoline/RB.pdf","footprints:RB-0505D_Convertidor","2",""
"R1,R2,R3,R4","10k/1W","~","Resistor_THT:R_Axial_DIN0614_L14.3mm_D5.7mm_P15.24mm_Horizontal","4",""
"R5","20/0.25W","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","1",""
"R6,R19","1k/0.25W","~","footprints:Res1OhmSMD_RCC12061R00FKEA","2",""
"R7","1/0.25W","~","footprints:Res1OhmSMD_RCC12061R00FKEA","1",""
"R8,R9","39k/0.25W","~","footprints:Res1OhmSMD_RCC12061R00FKEA","2",""
"R10,R11","22k/0.25W","~","footprints:Res1OhmSMD_RCC12061R00FKEA","2",""
"R12,R16","82k/0.25W","~","footprints:CRGH1206J82K.","2",""
"R13","10k/0.25W","~","footprints:CRCW120610K0FKEAC","1",""
"R14","3.3k/0.25W","~","footprints:Res3.3k_CR0805-FX-3301ELF","1",""
"R15,R17","100k/0.25W","~","footprints:Res100k_CR1206-FX-1003ELF","2",""
"R18","1.2k/0.25W","~","footprints:Res1OhmSMD_RCC12061R00FKEA","1",""
"R_Led1,R_Led2","330/0.25W","~","Resistor_SMD:R_1206_3216Metric","2",""
"TP_GND1,TP_GND2,TP_GNDREF1,TP_GNDREF2,TP_GNDREF3,TP_sensorCorriente1,TP_sensorVoltaje1,TP_Vin1,TP_Vout1,TP_Vx1,TP_Vy1","5001","http://www.keyelco.com/product-pdf.cfm?p=1310","footprints:TestPoint_5001","11",""
"U1","HXS 20-NP/SP30","HXS 20-NP/SP30","footprints:HXS 20-NP&slash_SP30_LEM","1",""
"U2","ESP32-DEVKITC-32E","","footprints:MODULE_ESP32-DEVKITC-32E","1",""
